分类: 湾推流, 名称: 龙华戏剧台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 245 ms, 最高速率: 0.45 M/s, 平均速率: 0.45 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 龙华经典台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 216 ms, 最高速率: 0.45 M/s, 平均速率: 0.45 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: TVBS新聞, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 83 ms, 最高速率: 0.98 M/s, 平均速率: 0.98 M/s, 最高分辨率: 1920x1080
分类: 测试频, 名称: 中视新闻, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 83 ms, 最高速率: 0.30 M/s, 平均速率: 0.30 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 三立新闻, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 108 ms, 最高速率: 0.70 M/s, 平均速率: 0.70 M/s, 最高分辨率: 1920x1080
分类: 测试频, 名称: 华视新闻, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 82 ms, 最高速率: 0.21 M/s, 平均速率: 0.21 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 华视频道, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 102 ms, 最高速率: 0.26 M/s, 平均速率: 0.26 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 民視新聞, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 203 ms, 最高速率: 0.31 M/s, 平均速率: 0.31 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 中视频道, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 114 ms, 最高速率: 0.43 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 测试频, 名称: 民視綜藝, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 229 ms, 最高速率: 0.36 M/s, 平均速率: 0.36 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 民視台灣, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 219 ms, 最高速率: 0.21 M/s, 平均速率: 0.21 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 民視第一, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 196 ms, 最高速率: 0.31 M/s, 平均速率: 0.31 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 民視频道, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 103 ms, 最高速率: 0.20 M/s, 平均速率: 0.20 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 東森財經, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 114 ms, 最高速率: 0.34 M/s, 平均速率: 0.34 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 東森新聞, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 210 ms, 最高速率: 0.32 M/s, 平均速率: 0.32 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 韩国中华TV, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1821 ms, 最高速率: 0.30 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 测试频, 名称: Now华剧台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 67 ms, 最高速率: 1.02 M/s, 平均速率: 1.02 M/s, 最高分辨率: 1920x1080
分类: 测试频, 名称: Now剧集台, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1100 ms, 最高速率: 0.13 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 测试频, 名称: Now紫金国际, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1342 ms, 最高速率: 0.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: HUB如意台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 63 ms, 最高速率: 2.45 M/s, 平均速率: 2.45 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: Now爆谷(国), 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 632 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 测试频, 名称: Now星影(国), 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 749 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 测试频, 名称: TVB生活台, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1048 ms, 最高速率: 0.06 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 测试频, 名称: TVB功夫(国), 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 60 ms, 最高速率: 0.72 M/s, 平均速率: 0.72 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: TVB星河(国), 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 406 ms, 最高速率: 0.74 M/s, 平均速率: 0.00 M/s, 最高分辨率: 960x540
分类: 测试频, 名称: 东森电影台, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 712 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 美亚电影(台湾), 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 780 ms, 最高速率: 0.22 M/s, 平均速率: 0.22 M/s, 最高分辨率: 1280x720
分类: 测试频, 名称: 龙祥时代台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 534 ms, 最高速率: 0.65 M/s, 平均速率: 0.65 M/s, 最高分辨率: 1280x720
